config_id,experiment,provider,chunk_size,top_k,threshold,fallback_top_n,case_id,category,question,reference,expected_sources,retrieved_sources,retrieved_count,source_hit,recall_at_k,mrr,ndcg_at_k,mean_similarity,latency_ms
embedding_nomic,Embedding模型,nomic-embed-text,512,5,0.3,1,1,活动信息查询,汉服文化节的活动时间是何时,周日下午3-5点,M3311,M3311;M3287;M0118;M1951;M3200,5,1,1.0,1.0,1.0,0.67531,2288.169
embedding_nomic,Embedding模型,nomic-embed-text,512,5,0.3,1,2,奖励设置查询,校园防诈骗知识竞赛设置了什么奖励,学分奖励,M3154,M0123;M3200;M0051;M0055;M1929,5,0,0.0,0.0,0.0,0.683127,2160.862
embedding_nomic,Embedding模型,nomic-embed-text,512,5,0.3,1,3,人群定位查询,酒店亲子房的目标人群是哪些,3-12岁儿童家庭,M3343,M3343;M0051;M3287;M1929;M0123,5,1,1.0,1.0,1.0,0.647816,2148.25
embedding_nomic,Embedding模型,nomic-embed-text,512,5,0.3,1,4,宣传渠道查询,酒店计划通过哪些渠道进行宣传,邀请网红进行抖音宣传,M3287,M3154;M1929;M3287;M2961,5,1,1.0,0.333333,0.5,0.704396,2216.771
embedding_nomic,Embedding模型,nomic-embed-text,512,5,0.3,1,5,食品处理查询,过期或不新鲜食品如何处理,可调换,M3307,M3307;M2758;M1987,5,1,1.0,1.0,1.0,0.703541,2214.379
embedding_nomic,Embedding模型,nomic-embed-text,512,5,0.3,1,6,目标查询,暑期营销和第四季度营销分别设定了哪些核心量化目标,暑期整体订单量提升25%，新媒体渠道获客占比提升至30%，中端及以上套餐签约占比提升至40%，老客户转介绍率提升10%；第四季度保障46组意向客户转化，全年总订单量、营收稳步增长,M0104;M0106,M0106;M3304;M0105,5,1,0.5,1.0,0.613147,0.751366,2157.302
embedding_nomic,Embedding模型,nomic-embed-text,512,5,0.3,1,7,问题解决措施查询,在不同阶段的营销会议中，针对直播转化偏低的问题分别提出了哪些改进措施,暑期阶段制定每周三、六固定直播排期并要求咨询5分钟内响应；七夕阶段完成直播筹备；第四季度确定直播整体排期并优化直播玩法,M0104;M0105;M0106,M2754;M0051;M0105;M0118;M0123,5,1,0.333333,0.333333,0.234639,0.761192,2196.928
embedding_nomic,Embedding模型,nomic-embed-text,512,5,0.3,1,8,风险与应对查询,在婚礼项目筹备和不同营销阶段中，关于酒店场地分别有哪些风险提示和应对要求,七夕和第四季度营销均要求提前锁定紧张酒店档期；婚礼项目要求提前预订婚车司机、确认酒店套餐餐标和开瓶费，并签订档期保障协议、拓展合作酒店,M0101;M0102;M0105;M0106,M1929;M2754;M0123;M0118;M2790,5,0,0.0,0.0,0.0,0.727134,2160.076
embedding_nomic,Embedding模型,nomic-embed-text,512,5,0.3,1,9,人员分工查询,负责人A在暑期营销、第四季度营销以及M0101婚礼项目中分别承担了哪些核心任务,暑期完成婚礼套餐改版和主题方案设计；第四季度负责整体统筹、产品迭代和新款婚礼方案套餐设计；M0101项目负责婚礼助理、场地布置以及婚礼当天场地和流程把控,M0102;M0103;M0104;M0106,M0103;M0102;M0106;M0123,5,1,0.75,1.0,0.831872,0.720255,2174.622
embedding_nomic,Embedding模型,nomic-embed-text,512,5,0.3,1,10,产品规划查询,在上半年总结暨暑期部署、七夕冲刺、第四季度规划会议中，套餐设计相关的决策分别是什么,暑期部署要求完成全品类套餐改版并新增优惠、联名和引流套餐；七夕冲刺主推专项套餐并按预算分层推荐；第四季度打造中式、国潮爆款产品并完成新款方案与套餐设计,M0104;M0105;M0106,M0104;M0106;M3223;M3200,5,1,0.666667,1.0,0.765361,0.785738,2244.874
